,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
1,3,Installed,2,1,1,234,Not specified,49,Gas,No,1150.0,200,No,Apartment ,90,No,As new,Unknown,1350.0
2,3,USA hyper equipped,2,1,1,242,E,52,Gas,Yes,1200.0,80,No,Apartment ,90,Unknown,Good,No,1280.0
4,4,Hyper equipped,1,1,1,412,Not specified,76,Gas,No,960.0,80,No,Apartment ,70,Yes,As new,Yes,1040.0
6,2,Hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050.0,150,No,Apartment ,50,Yes,Just renovated,No,1200.0
7,3,Hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,200,No,Apartment ,60,Yes,Just renovated,No,1450.0
9,0,Installed,1,1,1,86,B,17,Gas,Yes,900.0,130,No,Apartment ,60,No,As new,Yes,1030.0
11,1,Installed,2,1,1,252,Not specified,54,Gas,Yes,625.0,105,No,Others,40,No,As new,Yes,730.0
14,6,Hyper equipped,1,1,1,407,Others,87,Gas,Yes,1250.0,0,No,Apartment ,90,No,As new,Yes,1250.0
15,1,Others,1,1,1,407,Others,87,Gas,Yes,980.0,0,No,Apartment ,70,No,As new,Unknown,980.0
17,3,Installed,1,1,1,245,Not specified,53,Gas,Yes,950.0,0,No,Others,45,Yes,Just renovated,No,950.0
18,3,Hyper equipped,2,1,1,227,Not specified,55,Gas,Yes,1950.0,0,No,Others,110,Yes,Just renovated,No,1950.0
19,2,Installed,1,1,1,277,Not specified,61,Gas,Yes,750.0,0,No,Apartment ,54,Unknown,As new,No,750.0
20,2,Installed,2,1,2,247,Not specified,63,Gas,No,1250.0,300,No,Duplex ,120,Yes,Good,No,1550.0
22,4,Installed,1,1,1,165,D,35,Gas,Yes,1200.0,50,No,Others,52,No,As new,Yes,1250.0
23,0,Installed,1,1,1,214,Not specified,49,Gas,No,1400.0,0,No,Others,80,Yes,As new,Unknown,1400.0
24,2,Installed,1,1,1,411,Not specified,92,Gas,No,975.0,65,No,Apartment ,67,Unknown,Just renovated,No,1040.0
26,0,Hyper equipped,3,1,2,197,D,53,Gas,Yes,2400.0,250,No,Apartment ,140,Yes,As new,Yes,2650.0
27,1,USA hyper equipped,2,1,1,101,C,19,Gas,Yes,1400.0,250,No,Apartment ,80,Yes,As new,Yes,1650.0
28,3,Others,2,1,1,251,C,50,Gas,Yes,900.0,20,No,Apartment ,80,No,Good,No,920.0
29,0,Installed,3,1,1,404,E,61,Others,Yes,750.0,0,No,Others,109,Unknown,As new,Unknown,750.0
30,2,Hyper equipped,2,2,1,117,B,66,Gas,No,720.0,75,No,Apartment ,118,No,As new,Yes,795.0
31,2,Hyper equipped,2,1,1,154,B,85,Gas,No,700.0,0,No,Apartment ,95,Unknown,As new,Yes,700.0
32,3,Hyper equipped,2,1,1,112,B,51,Gas,Yes,515.0,0,No,Others,45,Unknown,As new,Yes,515.0
33,2,Installed,1,1,1,149,C,72,Gas,Yes,740.0,75,No,Apartment ,45,Yes,Good,Yes,815.0
34,2,Hyper equipped,2,1,1,203,Not specified,43,Gas,Yes,1000.0,30,No,Apartment ,70,No,As new,No,1030.0
35,1,Hyper equipped,1,1,1,224,E,44,Others,Yes,700.0,45,No,Others,32,No,Just renovated,No,745.0
36,4,USA hyper equipped,1,1,1,227,E,53,Gas,Yes,950.0,200,No,Others,65,Unknown,Good,Yes,1150.0
37,2,Installed,2,1,1,208,D,44,Gas,No,1195.0,0,No,Apartment ,100,No,As new,Unknown,1195.0
38,3,Installed,1,1,1,252,Not specified,54,Gas,No,625.0,35,No,Apartment ,45,No,As new,Unknown,660.0
42,0,Installed,1,1,1,277,Not specified,61,Gas,Yes,750.0,130,No,Apartment ,68,No,As new,Yes,880.0
43,1,Installed,2,1,1,114,Not specified,41,Gas,No,1280.0,150,No,Apartment ,70,No,As new,Unknown,1430.0
45,2,Hyper equipped,2,1,1,336,F,92,Gas,Yes,975.0,0,No,Apartment ,75,Unknown,As new,Unknown,975.0
46,3,Others,2,1,2,263,Not specified,50,Gas,Yes,900.0,70,No,Duplex ,80,Unknown,As new,No,970.0
47,1,Hyper equipped,2,1,1,126,C,25,Gas,Yes,1490.0,50,No,Duplex ,115,No,As new,Unknown,1540.0
48,4,Hyper equipped,1,1,1,47,B,18,Gas,Yes,850.0,85,No,Apartment ,71,No,Good,Yes,935.0
50,4,Hyper equipped,2,1,1,250,Not specified,39,Gas,Yes,570.0,0,No,Duplex ,65,Unknown,As new,Unknown,570.0
52,1,Hyper equipped,1,1,1,281,Not specified,61,Gas,Yes,990.0,0,No,Apartment ,66,No,As new,Yes,990.0
53,2,Installed,1,1,1,197,Not specified,44,Gas,No,790.0,100,No,Apartment ,63,No,Good,No,890.0
54,2,Hyper equipped,2,1,1,79,B,52,Gas,Yes,1600.0,250,No,Apartment ,97,Yes,As new,Yes,1850.0
55,1,Installed,1,1,2,83,B,63,Gas,Yes,1250.0,130,No,Apartment ,64,Yes,Good,Yes,1380.0
56,3,Hyper equipped,2,1,1,240,E,30,Gas,Yes,835.0,0,No,Apartment ,80,Yes,As new,Yes,835.0
57,3,Hyper equipped,1,1,1,291,F,72,Gas,Yes,825.0,100,No,Others,60,No,As new,Unknown,925.0
58,1,USA hyper equipped,2,1,2,159,Not specified,42,Gas,Yes,1500.0,40,No,Duplex ,90,Unknown,Just renovated,No,1540.0
59,1,Hyper equipped,1,1,1,272,Not specified,58,Gas,No,850.0,142,No,Apartment ,70,Unknown,As new,No,992.0
60,1,Hyper equipped,2,2,2,138,C,27,Gas,Yes,2200.0,25,No,Duplex ,150,No,Just renovated,Unknown,2225.0
61,2,Installed,1,1,1,272,Not specified,58,Gas,Yes,850.0,20,No,Apartment ,80,Unknown,As new,No,870.0
62,0,Installed,2,1,1,233,Not specified,58,Gas,Yes,1100.0,150,No,Apartment ,89,No,Good,No,1250.0
63,1,Hyper equipped,1,1,1,200,Not specified,30,Gas,Yes,835.0,100,No,Others,36,Yes,As new,No,935.0
64,0,Hyper equipped,1,1,1,208,D,40,Gas,Yes,790.0,40,No,Apartment ,59,Unknown,As new,Unknown,830.0
65,5,USA hyper equipped,3,2,2,179,D,38,Gas,Yes,1950.0,300,No,Duplex ,76,Yes,As new,Yes,2250.0
66,2,Hyper equipped,2,1,1,255,Not specified,53,Others,Yes,1350.0,385,No,Apartment ,100,Unknown,As new,Yes,1735.0
67,0,Installed,2,1,2,221,Not specified,48,Gas,Yes,2200.0,225,No,Apartment ,110,No,As new,Yes,2425.0
